Partner ISO,Commodity Code,Trade Value
ABW,01,368911
ABW,02,49798613
ABW,03,10249561
ABW,04,19867068
ABW,05,767239
ABW,06,1857714
ABW,07,6819819
ABW,08,7982117
ABW,09,4762692
ABW,10,6175860
ABW,11,6062024
ABW,12,531064
ABW,13,98938
ABW,14,56273
ABW,15,6516091
ABW,16,10861062
ABW,17,5976927
ABW,18,3294507
ABW,19,15314189
ABW,20,14375078
ABW,21,39938963
ABW,22,64252519
ABW,23,11789968
ABW,24,12518379
ABW,25,3755568
ABW,26,61608
ABW,27,1345267583
ABW,28,6847034
ABW,29,17970544
ABW,30,42077663
ABW,31,237935
ABW,32,9714796
ABW,33,41813634
ABW,34,8340904
ABW,35,848789
ABW,36,839823
ABW,37,2037219
ABW,38,23037022
ABW,39,24631681
ABW,40,4777580
ABW,41,6036
ABW,42,9519985
ABW,43,50057
ABW,44,15851929
ABW,45,8549
ABW,46,84158
ABW,47,3032
ABW,48,11469340
ABW,49,3010582
ABW,50,58875
ABW,52,116178
ABW,53,35444
ABW,54,226302
ABW,55,117424
ABW,56,435016
ABW,57,1353854
ABW,58,181074
ABW,59,348594
ABW,60,89675
ABW,61,12490895
ABW,62,12714346
ABW,63,6605509
ABW,64,9509128
ABW,65,654818
ABW,66,324804
ABW,67,216105
ABW,68,4117285
ABW,69,5230931
ABW,70,4376511
ABW,71,52371129
ABW,72,2686480
ABW,73,20387933
ABW,74,1029336
ABW,75,14832
ABW,76,7437449
ABW,78,128263
ABW,79,315758
ABW,80,37023
ABW,81,162250
ABW,82,3661108
ABW,83,3474358
ABW,84,114249389
ABW,85,83806848
ABW,86,1952717
ABW,87,80571374
ABW,88,5974649
ABW,89,5232788
ABW,90,27655024
ABW,91,21288065
ABW,92,413074
ABW,94,31345755
ABW,95,12039368
ABW,96,5863501
ABW,97,232371
ABW,99,102371338
AFG,01,5172442
AFG,02,59473118
AFG,03,1251607
AFG,04,74411504
AFG,05,132202
AFG,06,735095
AFG,07,99856597
AFG,08,111536831
AFG,09,15505019
AFG,10,165427901
AFG,11,504826345
AFG,12,25682453
AFG,13,708564
AFG,14,1941689
AFG,15,192954838
AFG,16,3488477
AFG,17,177280990
AFG,18,4597309
AFG,19,45898506
AFG,20,17671728
AFG,21,43214608
AFG,22,24238440
AFG,23,10634897
AFG,24,51293501
AFG,25,127805114
AFG,26,1141139
AFG,27,249400464
AFG,28,3758178
AFG,29,8638715
AFG,30,230516785
AFG,31,12779942
AFG,32,25497078
AFG,33,29194250
AFG,34,25093661
AFG,35,1482924
AFG,36,6139443
AFG,37,2129609
AFG,38,14293596
AFG,39,87279129
AFG,40,82084296
AFG,41,48134
AFG,42,3937925
AFG,44,78248433
AFG,45,466449
AFG,46,93470
AFG,47,260205
AFG,48,28454101
AFG,49,36984979
AFG,50,62948
AFG,51,803952
